Team Modified,Market,Bookmaker,Point,Implied Probability,Vegas Line
Alabama St.,spreads,fanduel,-3.5,0.5128205128205129,-105.26315789473685
St.. Francis (PA),spreads,fanduel,3.5,0.53475935828877,-114.94252873563217
Alabama St.,spreads,draftkings,-3.5,0.5235602094240838,-109.8901098901099
St.. Francis (PA),spreads,draftkings,3.5,0.5235602094240838,-109.8901098901099
Alabama St.,spreads,betmgm,-3.5,0.5235602094240838,-109.8901098901099
St.. Francis (PA),spreads,betmgm,3.5,0.5235602094240838,-109.8901098901099
Alabama St.,spreads,betrivers,-3.5,0.5154639175257733,-106.38297872340426
St.. Francis (PA),spreads,betrivers,3.5,0.5319148936170213,-113.63636363636365
Alabama St.,spreads,lowvig,-3.5,0.5154639175257733,-106.38297872340426
St.. Francis (PA),spreads,lowvig,3.5,0.5154639175257733,-106.38297872340426
Alabama St.,spreads,betonlineag,-3.5,0.5235602094240838,-109.8901098901099
St.. Francis (PA),spreads,betonlineag,3.5,0.5235602094240838,-109.8901098901099
Alabama St.,spreads,bovada,-3.5,0.5235602094240838,-109.8901098901099
St.. Francis (PA),spreads,bovada,3.5,0.5235602094240838,-109.8901098901099
Alabama St.,spreads,betus,-3.5,0.5235602094240838,-109.8901098901099
St.. Francis (PA),spreads,betus,3.5,0.5235602094240838,-109.8901098901099
Georgia Tech,spreads,betonlineag,-6.0,0.5154639175257733,-106.38297872340426
Jacksonville,spreads,betonlineag,6.0,0.5319148936170213,-113.63636363636365
Georgia Tech,spreads,lowvig,-6.0,0.5050505050505051,-102.04081632653062
Jacksonville,spreads,lowvig,6.0,0.5235602094240838,-109.8901098901099
Kent St.,spreads,fanduel,4.5,0.5050505050505051,-102.04081632653062
St.. Bonaventure,spreads,fanduel,-4.5,0.5464480874316939,-120.48192771084337
Kent St.,spreads,betmgm,5.5,0.5235602094240838,-109.8901098901099
St.. Bonaventure,spreads,betmgm,-5.5,0.5235602094240838,-109.8901098901099
Kent St.,spreads,lowvig,5.5,0.5154639175257733,-106.38297872340426
St.. Bonaventure,spreads,lowvig,-5.5,0.5154639175257733,-106.38297872340426
Kent St.,spreads,betonlineag,5.5,0.5235602094240838,-109.8901098901099
St.. Bonaventure,spreads,betonlineag,-5.5,0.5235602094240838,-109.8901098901099
Kent St.,spreads,betus,5.5,0.5235602094240838,-109.8901098901099
St.. Bonaventure,spreads,betus,-5.5,0.5235602094240838,-109.8901098901099
Kent St.,spreads,draftkings,5.5,0.53475935828877,-114.94252873563217
St.. Bonaventure,spreads,draftkings,-5.5,0.5128205128205129,-105.26315789473685
Georgia Tech,spreads,fanduel,-5.5,0.5235602094240838,-109.8901098901099
Jacksonville St.,spreads,fanduel,5.5,0.5235602094240838,-109.8901098901099
Georgia Tech,spreads,betmgm,-5.5,0.53475935828877,-114.94252873563217
Jacksonville St.,spreads,betmgm,5.5,0.5128205128205129,-105.26315789473685
Georgia Tech,spreads,betus,-5.5,0.5235602094240838,-109.8901098901099
Jacksonville St.,spreads,betus,5.5,0.5235602094240838,-109.8901098901099
Georgia Tech,spreads,draftkings,-5.5,0.5291005291005292,-112.35955056179776
Jacksonville St.,spreads,draftkings,5.5,0.5181347150259068,-107.52688172043011
Chattanooga,spreads,fanduel,3.5,0.5464480874316939,-120.48192771084337
Middle Tennessee Blue,spreads,fanduel,-3.5,0.5050505050505051,-102.04081632653062
Chattanooga,spreads,lowvig,3.0,0.5154639175257733,-106.38297872340426
Middle Tennessee Blue,spreads,lowvig,-3.0,0.5154639175257733,-106.38297872340426
Chattanooga,spreads,betonlineag,3.0,0.5235602094240838,-109.8901098901099
Middle Tennessee Blue,spreads,betonlineag,-3.0,0.5235602094240838,-109.8901098901099
Chattanooga,spreads,betmgm,3.5,0.53475935828877,-114.94252873563217
Middle Tennessee Blue,spreads,betmgm,-3.5,0.5128205128205129,-105.26315789473685
Chattanooga,spreads,betus,3.0,0.5235602094240838,-109.8901098901099
Middle Tennessee Blue,spreads,betus,-3.0,0.5235602094240838,-109.8901098901099
Chattanooga,spreads,draftkings,2.5,0.5,1.0
Middle Tennessee Blue,spreads,draftkings,-2.5,0.5464480874316939,-120.48192771084337
Arkansas St. Red,spreads,fanduel,-3.5,0.5464480874316939,-120.48192771084337
Saint Louis,spreads,fanduel,3.5,0.5050505050505051,-102.04081632653062
Arkansas St. Red,spreads,lowvig,-3.5,0.5263157894736842,-111.11111111111113
Saint Louis,spreads,lowvig,3.5,0.5025125628140703,-101.01010101010101
Arkansas St. Red,spreads,betonlineag,-3.5,0.53475935828877,-114.94252873563217
Saint Louis,spreads,betonlineag,3.5,0.5128205128205129,-105.26315789473685
Arkansas St. Red,spreads,betmgm,-3.5,0.53475935828877,-114.94252873563217
Saint Louis,spreads,betmgm,3.5,0.5128205128205129,-105.26315789473685
Arkansas St. Red,spreads,betus,-3.5,0.53475935828877,-114.94252873563217
Saint Louis,spreads,betus,3.5,0.5128205128205129,-105.26315789473685
Arkansas St. Red,spreads,draftkings,-3.5,0.53475935828877,-114.94252873563217
Saint Louis,spreads,draftkings,3.5,0.5128205128205129,-105.26315789473685
Oklahoma St.,spreads,fanduel,-6.5,0.5235602094240838,-109.8901098901099
Wichita St.,spreads,fanduel,6.5,0.5235602094240838,-109.8901098901099
Oklahoma St.,spreads,lowvig,-7.0,0.5,1.0
Wichita St.,spreads,lowvig,7.0,0.5291005291005292,-112.35955056179776
Oklahoma St.,spreads,betonlineag,-7.0,0.5102040816326531,-104.16666666666667
Wichita St.,spreads,betonlineag,7.0,0.5376344086021505,-116.27906976744185
Oklahoma St.,spreads,betmgm,-6.5,0.53475935828877,-114.94252873563217
Wichita St.,spreads,betmgm,6.5,0.5128205128205129,-105.26315789473685
Oklahoma St.,spreads,betus,-6.5,0.5235602094240838,-109.8901098901099
Wichita St.,spreads,betus,6.5,0.5235602094240838,-109.8901098901099
Oklahoma St.,spreads,draftkings,-6.5,0.5235602094240838,-109.8901098901099
Wichita St.,spreads,draftkings,6.5,0.5235602094240838,-109.8901098901099
North Carolina,spreads,draftkings,-4.5,0.5128205128205129,-105.26315789473685
San Diego St.,spreads,draftkings,4.5,0.53475935828877,-114.94252873563217
North Carolina,spreads,fanduel,-3.5,0.5291005291005292,-112.35955056179776
San Diego St.,spreads,fanduel,3.5,0.5181347150259068,-107.52688172043011
North Carolina,spreads,betmgm,-4.5,0.5128205128205129,-105.26315789473685
San Diego St.,spreads,betmgm,4.5,0.53475935828877,-114.94252873563217
North Carolina,spreads,betrivers,-4.0,0.5319148936170213,-113.63636363636365
San Diego St.,spreads,betrivers,4.0,0.5181347150259068,-107.52688172043011
North Carolina,spreads,lowvig,-4.0,0.5263157894736842,-111.11111111111113
San Diego St.,spreads,lowvig,4.0,0.5025125628140703,-101.01010101010101
North Carolina,spreads,betonlineag,-4.0,0.53475935828877,-114.94252873563217
San Diego St.,spreads,betonlineag,4.0,0.5128205128205129,-105.26315789473685
North Carolina,spreads,bovada,-4.0,0.53475935828877,-114.94252873563217
San Diego St.,spreads,bovada,4.0,0.5128205128205129,-105.26315789473685
North Carolina,spreads,betus,-4.0,0.5235602094240838,-109.8901098901099
San Diego St.,spreads,betus,4.0,0.5235602094240838,-109.8901098901099
Santa Clara,spreads,fanduel,-10.5,0.5235602094240838,-109.8901098901099
UC Riverside,spreads,fanduel,10.5,0.5235602094240838,-109.8901098901099
Santa Clara,spreads,lowvig,-10.5,0.5154639175257733,-106.38297872340426
UC Riverside,spreads,lowvig,10.5,0.5154639175257733,-106.38297872340426
Santa Clara,spreads,betonlineag,-10.5,0.5235602094240838,-109.8901098901099
UC Riverside,spreads,betonlineag,10.5,0.5235602094240838,-109.8901098901099
Santa Clara,spreads,betmgm,-10.5,0.5235602094240838,-109.8901098901099
UC Riverside,spreads,betmgm,10.5,0.5235602094240838,-109.8901098901099
Santa Clara,spreads,betus,-10.5,0.5235602094240838,-109.8901098901099
