Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Year,Conf Record,Away,Home,SOS
1,Houston,B12,31,28–3,119.7,85.7,0.979,50.1,44.5,13.4,24.8,37.7,29.4,30.7,39.6,48.8,44.0,34.8,30.2,36.0,41.2,64.4,9.1,2024,15–3,Houston,Sweet Sixteen,0.7131224411556297
2,Connecticut,BE,31,28–3,126.2,94.0,0.9673,56.7,45.1,15.0,16.6,37.4,27.0,33.2,33.4,58.0,43.9,36.6,31.7,41.0,33.2,65.6,9.4,2024,18–2,Connecticut,CHAMPS,0.6971563618658307
3,Purdue,B10,31,28–3,126.8,94.5,0.9671,56.4,47.8,16.3,14.0,37.5,24.4,42.0,23.5,53.5,47.7,41.1,32.0,35.3,37.2,68.7,10.4,2024,17–3,Purdue,Finals,0.7669563470250708
4,Arizona,P12,31,24–7,122.7,94.1,0.9553,55.3,48.9,15.8,17.9,36.6,22.9,36.3,26.3,54.9,47.9,37.4,33.7,32.4,38.1,73.6,5.0,2024,15–5,Arizona,Sweet Sixteen,0.727822993032091
5,Auburn,SEC,31,24–7,120.5,93.0,0.9513,54.0,44.0,14.9,18.4,33.6,29.9,38.6,40.7,54.8,43.1,35.1,30.6,38.0,34.4,70.8,3.6,2024,13–5,Auburn,R,0.688862022345353
6,Tennessee,SEC,31,24–7,116.3,90.7,0.9458,52.0,45.1,14.4,18.8,32.3,28.8,34.8,35.5,52.0,43.6,34.6,31.4,40.9,41.7,70.3,6.1,2024,14–4,Tennessee,Elite Eight,0.7357989006286828
7,North Carolina,ACC,31,25–6,117.8,93.0,0.9386,51.4,46.1,14.4,15.1,32.5,24.2,37.3,28.2,50.1,45.7,35.8,31.2,35.8,36.5,71.5,6.6,2024,17–3,North Carolina,Sweet Sixteen,0.7293835290298099
8,Iowa St.,B12,31,24–7,112.2,88.7,0.9377,51.8,47.9,16.1,25.9,32.5,29.0,36.0,35.8,51.6,47.5,34.8,32.2,31.8,45.6,68.7,4.4,2024,13–5,Iowa St.,Sweet Sixteen,0.6722037521363388
9,Marquette,BE,31,23–8,118.8,94.5,0.9331,55.7,50.1,14.6,21.7,26.7,31.1,25.3,27.3,57.4,48.8,35.6,34.5,41.0,42.1,70.4,5.7,2024,14–6,Marquette,Sweet Sixteen,0.7420911159658967
10,Creighton,BE,31,23–8,120.7,96.0,0.9331,57.9,46.4,15.3,11.3,26.2,24.7,23.9,16.1,61.0,45.6,36.5,32.4,49.0,27.0,67.7,5.0,2024,14–6,Creighton,Sweet Sixteen,0.7151911719501419
11,Duke,ACC,31,24–7,121.3,96.8,0.9305,55.5,48.9,14.4,17.1,31.8,25.9,34.2,27.4,54.6,49.2,38.1,32.3,37.6,35.8,67.8,4.0,2024,15–5,Duke,Elite Eight,0.6918135106007036
12,Alabama,SEC,31,21–10,125.8,101.0,0.926,56.5,49.7,16.2,15.9,35.3,30.0,35.3,39.1,57.5,50.9,36.9,31.8,47.2,36.9,73.4,3.7,2024,13–5,Alabama,Final Four,0.7718961261355719
13,Illinois,B10,31,23–8,123.6,99.9,0.9202,53.9,47.7,15.3,12.3,35.7,25.4,36.9,27.0,54.7,46.0,35.0,34.7,38.4,27.6,70.7,3.9,2024,14–6,Illinois,Elite Eight,0.7154672434279145
14,Gonzaga,WCC,30,24–6,121.0,98.2,0.9173,57.0,47.1,14.0,16.3,33.9,26.8,31.6,25.3,58.5,45.0,35.8,33.8,31.7,37.1,70.1,2.7,2024,14–2,Gonzaga,Sweet Sixteen,0.5783272365749308
15,Kansas,B12,30,21–9,114.9,93.4,0.9161,54.0,47.7,16.4,16.9,25.5,26.0,33.4,29.2,55.3,45.6,34.1,33.8,29.6,41.4,69.8,4.3,2024,10–8,Kansas,R,0.7236329755416631
16,BYU,B12,31,22–9,120.4,98.1,0.9135,55.3,47.9,15.3,16.1,33.5,24.4,24.7,31.9,58.3,48.5,35.0,31.0,50.5,34.1,69.9,2.4,2024,10–8,BYU,R,0.6655844775729649
17,Saint Mary's,WCC,31,24–7,115.0,93.7,0.913,53.1,45.0,15.8,16.9,38.9,22.6,27.9,32.4,53.1,43.3,35.4,32.8,36.9,29.3,63.1,0.7,2024,15–1,Saint Mary's,R,0.5565977028381315
18,Baylor,B12,30,21–9,123.1,100.9,0.9081,56.3,51.4,17.5,17.3,34.9,27.8,40.9,31.7,53.7,52.2,40.4,33.4,38.4,35.4,66.7,4.2,2024,11–7,Baylor,R,0.7223239287105788
19,Michigan St.,B10,31,18–13,113.8,93.5,0.9051,51.5,47.7,14.5,18.7,29.6,28.8,30.1,31.8,50.5,46.9,35.9,32.6,30.7,41.6,66.4,-0.38,2024,10–10,Michigan St.,R,0.7480236486961461
