Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Year,Conf Record,Away,Home,Home_Advantage,SOS
1,Houston,B12,34,30–4,124.3,87.6,0.9824,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49.0,43.9,39.8,30.9,34.5,43.1,62.1,11.5,2025,19–1,Houston,,0,0.7692103230244324
2,Duke,ACC,34,31–3,127.2,90.9,0.9794,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58.0,43.4,37.7,30.9,45.4,37.9,66.5,9.5,2025,19–1,Duke,,0,0.7029637226466722
3,Auburn,SEC,33,28–5,129.6,93.2,0.9779,55.7,46.0,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,40.6,34.8,68.6,12.7,2025,15–3,Auburn,,0,0.8044722635594098
4,Florida,SEC,34,30–4,126.9,94.1,0.9688,55.0,45.3,15.0,17.0,38.1,28.8,32.6,33.0,56.4,45.9,35.5,29.6,43.6,37.3,70.3,11.2,2025,14–4,Florida,,0,0.7410873969411208
5,Alabama,SEC,33,25–8,127.3,96.2,0.9614,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35.0,30.8,46.2,35.1,75.4,10.1,2025,13–5,Alabama,,0,0.8325942320737113
6,Tennessee,SEC,34,27–7,118.7,90.4,0.9584,52.8,44.4,16.0,17.8,35.4,30.1,35.4,29.4,54.1,46.7,34.0,27.8,43.0,45.1,64.6,9.4,2025,12–6,Tennessee,,0,0.7579809942011966
7,Texas Tech,B12,33,25–8,125.6,96.9,0.9518,55.5,48.0,14.8,17.4,34.3,28.5,29.7,33.5,54.3,48.2,37.9,31.7,44.6,34.1,66.3,5.8,2025,15–5,Texas Tech,,0,0.7274877398644306
8,Iowa St.,B12,33,24–9,119.3,92.6,0.9484,54.6,48.4,16.9,21.8,32.2,28.4,38.5,28.9,55.1,47.5,35.8,33.2,36.9,40.7,69.3,5.4,2025,13–7,Iowa St.,,0,0.7333552398067159
9,Maryland,B10,33,25–8,118.4,92.1,0.9475,53.8,47.0,14.5,20.2,31.0,27.2,32.9,25.9,52.7,47.6,37.2,30.7,35.5,35.8,70.6,5.2,2025,14–6,Maryland,,0,0.6962974562586216
10,Arizona,B12,34,22–12,123.1,96.3,0.9443,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,55.1,47.2,32.4,33.6,34.6,41.9,70.6,5.4,2025,14–6,Arizona,,0,0.780576672172651
