Rk,School,FT,FTA,FT%
1,Abilene Christian,476,666,0.715
2,Air Force,363,572,0.635
3,Akron ,445,590,0.754
4,Alabama ,671,932,0.72
5,Alabama A&M,490,738,0.664
6,Alabama State ,456,665,0.686
7,Albany (NY),423,591,0.716
8,Alcorn State,402,561,0.717
9,American ,427,566,0.754
10,Appalachian State,386,593,0.651
11,Arizona ,634,813,0.78
12,Arizona State,497,685,0.726
13,Arkansas,556,752,0.739
14,Arkansas State,547,752,0.727
15,Arkansas-Pine Bluff,349,589,0.593
16,Army,356,523,0.681
17,Auburn,578,795,0.727
18,Austin Peay,410,570,0.719
19,Ball State,553,785,0.704
20,Baylor,478,640,0.747
21,Bellarmine,343,444,0.773
22,Belmont,381,530,0.719
23,Bethune-Cookman,463,671,0.69
24,Binghamton,404,583,0.693
25,Boise State,609,781,0.78
26,Boston College,410,570,0.719
27,Boston University,362,546,0.663
28,Bowling Green,467,626,0.746
29,Bradley,484,648,0.747
30,BYU,469,658,0.713
31,Brown,283,448,0.632
32,Bryant ,483,676,0.714
33,Bucknell,451,679,0.664
34,Buffalo,431,616,0.7
35,Butler,529,715,0.74
36,Cal Poly,448,585,0.766
37,Cal State Bakersfield,514,666,0.772
38,Cal State Fullerton,502,677,0.742
39,Cal State Northridge,527,727,0.725
40,California,580,778,0.746
41,California Baptist,431,569,0.757
42,Campbell,422,547,0.771
43,Canisius,296,390,0.759
44,Central Arkansas,401,558,0.719
45,Central Connecticut State,346,466,0.742
46,Central Michigan,473,655,0.722
47,Charleston Southern,536,810,0.662
48,Charlotte,575,768,0.749
49,Chattanooga,514,670,0.767
50,Chicago State,351,498,0.705
51,Cincinnati,326,490,0.665
52,Clemson ,438,570,0.768
53,Cleveland State,470,644,0.73
54,Coastal Carolina,417,594,0.702
55,Colgate,316,433,0.73
56,College of Charleston,489,683,0.716
57,Colorado,514,685,0.75
58,Colorado State ,489,631,0.775
59,Columbia,353,480,0.735
60,Connecticut ,489,618,0.791
61,Coppin State,406,596,0.681
62,Cornell,370,490,0.755
63,Creighton ,425,584,0.728
64,Dartmouth,386,520,0.742
65,Davidson,409,548,0.746
66,Dayton,533,718,0.742
67,Delaware,488,624,0.782
68,Delaware State,463,640,0.723
69,Denver,444,600,0.74
70,DePaul,387,549,0.705
71,Detroit Mercy,404,550,0.735
72,Drake ,520,744,0.699
73,Drexel,328,469,0.699
74,Duke ,594,752,0.79
75,Duquesne,354,544,0.651
76,East Carolina,522,725,0.72
77,East Tennessee State,400,605,0.661
78,East Texas A&M,309,480,0.644
79,Eastern Illinois,412,608,0.678
80,Eastern Kentucky,419,559,0.75
81,Eastern Michigan,448,608,0.737
82,Eastern Washington,431,554,0.778
83,Elon,532,710,0.749
84,Evansville,373,535,0.697
85,Fairfield,363,500,0.726
86,FDU,458,644,0.711
87,Florida ,637,875,0.728
88,Florida A&M,440,617,0.713
89,Florida Atlantic,473,679,0.697
90,Florida Gulf Coast,316,461,0.685
91,Florida International,475,672,0.707
92,Florida State,519,724,0.717
93,Fordham,480,668,0.719
94,Fresno State,485,701,0.692
95,Furman,468,681,0.687
96,Gardner-Webb,445,643,0.692
97,George Mason,576,807,0.714
98,George Washington,534,770,0.694
99,Georgetown,371,527,0.704
100,Georgia ,538,750,0.717
101,Georgia Southern,362,550,0.658
102,Georgia State,450,656,0.686
103,Georgia Tech,431,627,0.687
104,Gonzaga ,545,678,0.804
