Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
Vanderbilt,58.7,45.2,39.2,42.6,32.0,26.200000000000003,13.5,18.8,36.8,27.7,61.4,47.7,76.3,76.2,45.1,40.7,58.9,45.8,3,Vanderbilt,SEC,16-0,127.05738001987898,94.13079524846552,0.9692152035523224,0.5956106408015729,71.37500741406917,2026,2.0162657224193343,-1.7344037664981298,-1.78885060423224,0.6357691410871903,0.22863360868053842,-1.394455929921689,0.6014113580927987,1.0546585318080546,2.1316396995288946,-0.9952231965815377,1.1202000633713247,-2.142557267121348,0.9205537633221246,0.20715852730981837,1.261917949615932
Little Rock,50.2,55.900000000000006,30.9,31.0,31.8,36.8,21.6,19.6,34.9,37.5,49.3,55.7,64.6,69.6,30.3,43.5,53.4,56.7,335,Little Rock,OVC,7-10,100.12789110481076,116.18833917013154,0.153061485541967,0.3808237270737878,65.99654980513581,2026,-0.23293045326238154,1.3438574968776698,1.9516804173482254,0.9809617576685578,0.1829444396860701,1.6031826926291597,-0.837634301288081,-0.7799446825203366,-0.5260648237947556,0.9444722606458678,0.4753969890452837,1.4076939694993291,-1.5836417394808346,0.81641324647711,-0.7478058535206724
Long Beach St.,49.4,56.00000000000001,27.800000000000004,42.8,28.000000000000004,27.4,17.8,18.3,30.6,37.3,51.4,56.0,71.2,76.4,34.9,36.8,47.1,55.0,252,Long Beach St.,BW,6-11,105.8496641993865,113.25564785157997,0.3148115295041352,0.4744222910846472,68.06969145521832,2026,-0.44461950509125003,1.3726262937316496,0.19686339487837734,0.4200237557238358,-0.6851497712088306,-1.0551006141612167,-1.375109186117083,1.0862896217102676,-0.06481031974684912,1.0172108402918947,-0.9838941791662831,1.3352398626295185,-0.8053107048258612,-0.6414462601017685,0.026847852873600773
Northwestern,53.1,47.3,40.7,36.6,29.4,33.900000000000006,12.4,17.4,30.9,29.2,56.5,49.6,73.1,73.5,34.3,39.2,66.1,62.6,59,Northwestern,B10,8-8,119.0964753014631,105.85269659195836,0.7950570457327184,0.576298409344313,66.98650030147878,2026,0.5344423596172623,-1.1302590325645634,-2.2968239528419327,0.0316820620697968,-0.36532558824755224,0.7830740128746841,0.8614798507519937,0.1057258347416455,1.0553791900837803,-0.5345455254900293,-0.8820831674305932,-1.5991514655977752,-0.9068321441286841,-0.11922792938694536,-0.3778992332429825
San Diego St.,53.2,48.2,35.8,35.4,32.1,32.2,18.4,20.8,37.2,32.6,51.9,47.6,73.8,77.0,33.9,48.1,58.4,57.9,50,San Diego St.,MWC,11-4,113.37610453297236,98.7672636917643,0.8301035135629852,0.5450679060861511,68.70189111768984,2026,0.560903491095871,-0.8713398608787469,0.47393976684729966,1.4987506825406083,0.251478193177773,0.30232064888067905,0.011922774731955745,-0.08406070467163677,0.045012181216938056,-1.0194693897968807,1.2559480790189144,-0.3674316488110088,-0.974513103663899,1.8173317136805192,0.2630766757788192
Arkansas,56.10000000000001,50.3,42.3,28.5,33.2,31.1,13.7,16.3,39.2,31.6,54.4,52.4,75.2,67.8,38.6,42.0,56.2,53.6,28,Arkansas,SEC,12-4,124.80650281780282,103.6557749981988,0.8942987883406041,0.6002698741498591,71.8435284480203,2026,1.3282763039755168,-0.2671951269451806,-1.6964918135759326,-0.44295778572958217,0.50276862264735,-0.008755057233088831,1.1388862429218007,-1.175333306298007,0.594124686035874,0.14434788453956196,1.9346881572568528,-0.7297021831600575,-0.17926182912512093,0.4900267897803463,1.4369863321644514
Evansville,47.1,53.3,34.1,33.900000000000006,23.6,29.4,20.0,17.4,29.2,36.5,49.3,52.1,71.8,72.2,39.9,41.8,54.0,53.2,264,Evansville,MVC,5-13,97.83381352017994,106.49566798086866,0.2737673883996515,0.5362420337010362,68.51209812117263,2026,-1.053225529099243,0.5958687786742022,1.2128100920977625,0.0316820620697968,-1.6903114890871378,-0.4895084212270939,-0.2828215169484645,-0.3212938789382379,-0.5260648237947556,0.07160930489353495,-1.4590122339328409,1.0454234351502805,0.0407012893643277,0.44650859555411054,0.19215829536140636
Purdue,59.4,47.9,26.6,22.2,39.0,27.0,14.4,16.0,39.3,30.4,59.7,49.9,73.7,72.2,38.9,45.0,65.0,54.5,5,Purdue,B10,15-1,129.7262774648143,96.69861226084774,0.9670423104552032,0.6644645085754495,65.8715883886389,2026,2.201493642769592,-0.9576462514406865,-1.3732360462788549,-0.5724050169475952,1.8277545234869355,-1.1682190527480407,-1.5831639802444395,-2.1717126382177367,1.7582431962520189,-0.4618069458440022,1.968625161168748,-1.1644268243789169,-0.12850110947371007,1.1427997031738737,-0.7944991532485333
UCLA,54.3,48.4,37.1,36.7,31.2,32.7,14.8,20.5,36.5,30.0,54.1,51.1,74.4,74.3,33.7,44.2,57.0,58.9,42,UCLA,B10,11-5,118.43204565282184,102.12805181748872,0.8459635377150068,0.5415688367790445,66.24260830288613,2026,0.8519759373605622,-0.8138022671707893,-1.1885184649662393,1.3693034513225952,0.04587693270266431,0.44371869711420975,0.23731546836992548,0.12154137969275254,0.5282311854576023,-0.17085262725989073,1.0183890516356349,-1.309335038118536,-1.0083535834315058,0.9687269262689338,-0.6558632082776422
Gonzaga,58.2,45.5,31.4,32.2,36.5,24.8,14.3,19.9,36.9,28.9,59.5,47.2,70.0,68.7,30.3,44.5,57.3,53.3,9,Gonzaga,WCC,17-1,124.2433871251023,95.32497222020405,0.9546498963042596,0.596766256884082,70.81715988734875,2026,1.883960065026292,-1.6480973759361923,-1.4194154416070086,1.1104089888865694,1.2566399110560795,-1.7903704649755756,-0.7509448037350159,-0.5901581431070543,1.7143141958665036,-1.1164541626582505,1.154137067283222,-1.70783262590249,-1.5836417394808346,1.0340042176082858,1.0534716747752062
