Team Modified,Market,Bookmaker,Point,Implied Probability,Vegas Line
Buffalo,spreads,betonlineag,1.5,0.5181347150259068,-107.52688172043011
Kent St.,spreads,betonlineag,-1.5,0.5291005291005292,-112.35955056179776
Buffalo,spreads,lowvig,1.5,0.5102040816326531,-104.16666666666667
Kent St.,spreads,lowvig,-1.5,0.5181347150259068,-107.52688172043011
Buffalo,spreads,fanduel,2.5,0.5464480874316939,-120.48192771084337
Kent St.,spreads,fanduel,-2.5,0.5050505050505051,-102.04081632653062
Buffalo,spreads,draftkings,1.5,0.5128205128205129,-105.26315789473685
Kent St.,spreads,draftkings,-1.5,0.53475935828877,-114.94252873563217
Buffalo,spreads,bovada,2.0,0.5235602094240838,-109.8901098901099
Kent St.,spreads,bovada,-2.0,0.5235602094240838,-109.8901098901099
Buffalo,spreads,betus,1.5,0.5235602094240838,-109.8901098901099
Kent St.,spreads,betus,-1.5,0.5235602094240838,-109.8901098901099
Buffalo,spreads,betmgm,1.5,0.5128205128205129,-105.26315789473685
Kent St.,spreads,betmgm,-1.5,0.53475935828877,-114.94252873563217
Buffalo,spreads,betrivers,1.5,0.5154639175257733,-106.38297872340426
Kent St.,spreads,betrivers,-1.5,0.5464480874316939,-120.48192771084337
Eastern Michigan,spreads,betonlineag,-8.0,0.5319148936170213,-113.63636363636365
Northern Illinois,spreads,betonlineag,8.0,0.5181347150259068,-107.52688172043011
Eastern Michigan,spreads,lowvig,-8.0,0.5208333333333334,-108.69565217391305
Northern Illinois,spreads,lowvig,8.0,0.5076142131979695,-103.09278350515464
Eastern Michigan,spreads,draftkings,-8.5,0.5128205128205129,-105.26315789473685
Northern Illinois,spreads,draftkings,8.5,0.53475935828877,-114.94252873563217
Eastern Michigan,spreads,fanduel,-8.5,0.5235602094240838,-109.8901098901099
Northern Illinois,spreads,fanduel,8.5,0.5235602094240838,-109.8901098901099
Eastern Michigan,spreads,betrivers,-8.5,0.5319148936170213,-113.63636363636365
Northern Illinois,spreads,betrivers,8.5,0.5181347150259068,-107.52688172043011
Eastern Michigan,spreads,bovada,-8.0,0.5235602094240838,-109.8901098901099
Northern Illinois,spreads,bovada,8.0,0.5235602094240838,-109.8901098901099
Eastern Michigan,spreads,betus,-8.0,0.53475935828877,-114.94252873563217
Northern Illinois,spreads,betus,8.0,0.5128205128205129,-105.26315789473685
Marquette,spreads,betonlineag,14.0,0.5128205128205129,-105.26315789473685
