home_team,away_team,mean_spread_away_minus_home,home_win_prob,spread_away_minus_home_bart,avg_result,team,Point
Eastern Michigan,Northern Illinois,-2.173,0.458,-19.194280712201987,-10.683640356100994,Eastern Michigan,-8.5
Buffalo,Kent St.,-6.462,0.5795,-2.3223838504658554,-4.392191925232927,Buffalo,2.5
Michigan St.,Indiana,1.5419999999999998,0.352,-5.518344308631789,-1.9881721543158948,Michigan St.,-7.5
Louisville,Virginia,-6.9965,0.6035,-2.146544797749186,-4.571522398874593,Louisville,-3.5
Clemson,Boston College,-11.471,0.727,-21.893092158368308,-16.682046079184154,Clemson,-15.5
Tennessee,Texas A&M,4.4455,0.2745,-12.269402891015616,-3.911951445507808,Tennessee,-8.5
Duquesne,Dayton,-1.765,0.4465,8.159755285108373,3.1973776425541867,Duquesne,4.5
Minnesota,Wisconsin,0.5474999999999999,0.373,3.754252715449818,2.150876357724909,Minnesota,1.5
Western Michigan,Massachusetts,-2.0685000000000002,0.4565,7.249130260880783,2.5903151304403913,Western Michigan,2.5
Toledo,Ohio,-9.6675,0.681,-1.8048898548892367,-5.736194927444618,Toledo,-2.5
Akron,Ball St.,-12.876,0.7485,-38.34780721777461,-25.611903608887303,Akron,-20.5
Belmont,Valparaiso,-9.038499999999999,0.643,-16.50173643977059,-12.770118219885294,Belmont,-10.5
Houston,West Virginia,-7.6165,0.6135,-10.333159390475323,-8.974829695237663,Houston,-14.5
Eastern Illinois,Western Illinois,-9.038,0.6675,-10.590116385582082,-9.814058192791041,Eastern Illinois,-7.5
Kansas,Iowa St.,1.226,0.355,-1.289438529141064,-0.03171926457053198,Kansas,3.5
Nebraska,Oregon,-9.815999999999999,0.666,-14.386703572198916,-12.101351786099457,Nebraska,-10.5
Mississippi St.,Alabama,5.067,0.2765,6.952901348295092,6.009950674147547,Mississippi St.,4.5
Oklahoma,Florida,-9.735,0.681,4.238406466038082,-2.7482967669809586,Oklahoma,6.5
Fresno St.,Colorado St.,2.4314999999999998,0.342,5.690325611327884,4.060912805663942,Fresno St.,4.5
Oklahoma St.,Baylor,-4.228,0.53,-1.81431605986358,-3.0211580299317897,Oklahoma St.,1.5
New Mexico,Grand Canyon,-9.256499999999999,0.6605,-4.404091251339728,-6.830295625669864,New Mexico,-7.5
Creighton,Georgetown,-7.133,0.624,-12.021763192458549,-9.577381596229275,Creighton,-8.5
Syracuse,Florida St.,3.0895,0.309,-14.687985461850738,-5.79924273092537,Syracuse,-8.5
USC,Maryland,-4.7620000000000005,0.54,-16.260521695509794,-10.511260847754897,USC,-8.5
