Home,Away
Alabama,Florida
Mississippi,Tennessee
Texas Tech,Colorado
Oklahoma,Missouri
Michigan,Maryland
Minnesota,Wisconsin
Boston College,Clemson
Louisville,California
Connecticut,Marquette
Cincinnati,Kansas St.
Butler,Xavier
USC,Washington
N.C. State,Pittsburgh
George Mason,La Salle
Notre Dame,Stanford
Saint Joseph's,Rhode Island
UCF,Oklahoma St.
St. Bonaventure,Massachusetts
Providence,DePaul
Fordham,George Washington
Loyola Chicago,Davidson
Central Connecticut,Le Moyne
LIU,Chicago St.
Fairleigh Dickinson,Stonehill
Saint Francis,Wagner
