Home,Away,Home_Advantage
Michigan St.,Michigan,3
Washington,Oregon,3
Santa Clara,Pepperdine,0
Nebraska,Iowa,3
Drake,Bradley,0
Temple,North Texas,3
Washington St.,San Francisco,0
Rutgers,Minnesota,3
Winthrop,High Point,0
South Alabama,Arkansas St.,0
Lipscomb,North Alabama,3
Tulane,UAB,3
St. Thomas,Nebraska Omaha,0
Troy,James Madison,0
UNC Wilmington,Hampton,0
Florida Atlantic,East Carolina,3
Weber St.,Northern Colorado,0
Wichita St.,Tulsa,3
Furman,Chattanooga,0
Texas A&M Corpus Chris,Houston Christian,0
Wofford,VMI,0
Monmouth,Charleston,0
Northern Arizona,Montana,0
Towson,Drexel,0
Charlotte,UTSA,3
William & Mary,Delaware,0
Southeastern Louisiana,Incarnate Word,0
Bucknell,Navy,3
American,Colgate,3
