Team Modified,Market,Bookmaker,Point,Implied Probability,Vegas Line
Cincinnati,spreads,betonlineag,-6.5,0.53475935828877,-114.94252873563217
Oklahoma St.,spreads,betonlineag,6.5,0.5128205128205129,-105.26315789473685
Cincinnati,spreads,lowvig,-6.5,0.5263157894736842,-111.11111111111113
Oklahoma St.,spreads,lowvig,6.5,0.5025125628140703,-101.01010101010101
Cincinnati,spreads,betrivers,-6.5,0.5208333333333334,-108.69565217391305
Oklahoma St.,spreads,betrivers,6.5,0.5291005291005292,-112.35955056179776
Cincinnati,spreads,fanduel,-6.5,0.5128205128205129,-105.26315789473685
Oklahoma St.,spreads,fanduel,6.5,0.53475935828877,-114.94252873563217
Cincinnati,spreads,mybookieag,-6.5,0.5235602094240838,-109.8901098901099
Oklahoma St.,spreads,mybookieag,6.5,0.5235602094240838,-109.8901098901099
Cincinnati,spreads,draftkings,-6.5,0.5291005291005292,-112.35955056179776
Oklahoma St.,spreads,draftkings,6.5,0.5181347150259068,-107.52688172043011
Cincinnati,spreads,betmgm,-6.5,0.53475935828877,-114.94252873563217
Oklahoma St.,spreads,betmgm,6.5,0.5128205128205129,-105.26315789473685
Cincinnati,spreads,betus,-6.5,0.53475935828877,-114.94252873563217
Oklahoma St.,spreads,betus,6.5,0.5128205128205129,-105.26315789473685
Cincinnati,spreads,bovada,-7.0,0.5235602094240838,-109.8901098901099
Oklahoma St.,spreads,bovada,7.0,0.5235602094240838,-109.8901098901099
Alabama A&M,spreads,betonlineag,5.5,0.5235602094240838,-109.8901098901099
Grambling St.,spreads,betonlineag,-5.5,0.5235602094240838,-109.8901098901099
Alabama A&M,spreads,lowvig,5.5,0.5154639175257733,-106.38297872340426
Grambling St.,spreads,lowvig,-5.5,0.5154639175257733,-106.38297872340426
Alabama A&M,spreads,fanduel,5.5,0.5235602094240838,-109.8901098901099
Grambling St.,spreads,fanduel,-5.5,0.5235602094240838,-109.8901098901099
Alabama A&M,spreads,mybookieag,5.0,0.5235602094240838,-109.8901098901099
Grambling St.,spreads,mybookieag,-5.0,0.5235602094240838,-109.8901098901099
Alabama A&M,spreads,draftkings,5.5,0.53475935828877,-114.94252873563217
Grambling St.,spreads,draftkings,-5.5,0.5128205128205129,-105.26315789473685
Alabama A&M,spreads,betrivers,5.5,0.53475935828877,-114.94252873563217
Grambling St.,spreads,betrivers,-5.5,0.5154639175257733,-106.38297872340426
Alabama A&M,spreads,bovada,5.5,0.5235602094240838,-109.8901098901099
Grambling St.,spreads,bovada,-5.5,0.5235602094240838,-109.8901098901099
Notre Dame,spreads,betonlineag,3.5,0.53475935828877,-114.94252873563217
Pittsburgh,spreads,betonlineag,-3.5,0.5128205128205129,-105.26315789473685
Notre Dame,spreads,lowvig,3.5,0.5263157894736842,-111.11111111111113
Pittsburgh,spreads,lowvig,-3.5,0.5025125628140703,-101.01010101010101
Notre Dame,spreads,betrivers,3.5,0.5319148936170213,-113.63636363636365
Pittsburgh,spreads,betrivers,-3.5,0.5181347150259068,-107.52688172043011
Notre Dame,spreads,fanduel,3.5,0.5235602094240838,-109.8901098901099
Pittsburgh,spreads,fanduel,-3.5,0.5235602094240838,-109.8901098901099
Notre Dame,spreads,mybookieag,4.0,0.5235602094240838,-109.8901098901099
Pittsburgh,spreads,mybookieag,-4.0,0.5235602094240838,-109.8901098901099
Notre Dame,spreads,draftkings,3.5,0.53475935828877,-114.94252873563217
Pittsburgh,spreads,draftkings,-3.5,0.5128205128205129,-105.26315789473685
Notre Dame,spreads,betmgm,3.5,0.53475935828877,-114.94252873563217
