Away,Home
Marquette,"St. John's"
Northern Illinois,Eastern Michigan
Kent St.,Buffalo
Indiana,Michigan St.
Virginia,Louisville
Boston College,Clemson
Texas A&M,Tennessee
UIC,Northern Iowa
George Mason,Loyola Chicago
Dayton,Duquesne
Wisconsin,Minnesota
Miami FL,Notre Dame
Massachusetts,Western Michigan
Ohio,Toledo
Central Michigan,Miami (OH)
Ball St.,Akron
Valparaiso,Belmont
Connecticut,Seton Hall
Bradley,Evansville
West Virginia,Houston
Western Illinois,Eastern Illinois
Iowa St.,Kansas
Oregon,Nebraska
Alabama,Mississippi St.
Florida,Oklahoma
Colorado St.,Fresno St.
Baylor,Oklahoma St.
Grand Canyon,New Mexico
Georgetown,Creighton
Florida St.,Syracuse
Air Force,San José St.
Maryland,USC
Saint Mary's,San Francisco
Boise St.,UNLV
