home_team,away_team,mean_spread_away_minus_home,home_win_prob,spread_away_minus_home_bart,avg_result
Richmond,Saint Joseph's,-12.4655,0.753,-17.09781285,-14.78165642
Iona,Canisius,-8.386,0.651,-15.80428997,-12.09514499
UCF,Cincinnati,-10.356,0.701,-7.501823995,-8.928911998
Manhattan,Niagara,-6.261,0.5915,-10.33650256,-8.298751282
Wichita St.,North Texas,-7.2285,0.6135,-7.660216469,-7.444358235
Robert Morris,Purdue Fort Wayne,0.4925,0.383,-11.7044269,-5.605963451
Florida Atlantic,Memphis,-8.409,0.6365,0.272489041,-4.06825548
Detroit Mercy,Cleveland St.,1.7355,0.357,-9.604056011,-3.934278005
Oakland,Wright St.,-6.7255,0.584,-0.732188965,-3.728844483
Green Bay,Northern Kentucky,-0.77,0.4175,-2.243695307,-1.506847653
Saint Peter's,Merrimack,-0.163,0.4105,0.67568006,0.25634003
Washington,Ohio St.,-0.8075,0.426,1.4049992,0.2987496
Mount St. Mary's,Siena,-1.618,0.4435,3.789717816,1.085858908
Rice,Charlotte,-1.1125,0.428,4.776880795,1.832190398
Sacred Heart,Quinnipiac,-8.8265,0.643,15.4498532,3.311676602
Rutgers,Northwestern,0.818,0.3605,14.07971153,7.448855764
East Carolina,UAB,0.539,0.3785,19.6446244,10.0918122
Rider,Marist,2.786,0.3115,19.36986547,11.07793273
