home_team,away_team,mean_spread_away_minus_home,home_win_prob,spread_away_minus_home_bart,avg_result,team,Point,Column1
Eastern Michigan,Northern Illinois,-2.0195,0.454,-18.78644083,-10.40297041,Eastern Michigan,-8.5,
Buffalo,Kent St.,-6.3035,0.5769,-2.417272526,-4.360386263,Buffalo,2.5,
Michigan St.,Indiana,1.3859,0.3584,-5.988937448,-2.301518724,Michigan St.,-7.5,played indiana +7.5
Louisville,Virginia,-7.1582,0.5973,-1.306775262,-4.232487631,Louisville,-3.5,
Clemson,Boston College,-11.3846,0.7307,-21.54489585,-16.46474793,Clemson,-15.5,
Tennessee,Texas A&M,4.3778,0.2753,-13.36071342,-4.49145671,Tennessee,-8.5,
Duquesne,Dayton,-1.5375,0.4379,8.758763558,3.610631779,Duquesne,4.5,
Minnesota,Wisconsin,0.4725,0.3842,4.252915367,2.362707683,Minnesota,1.5,played wisco ml
Notre Dame,Miami FL,-2.1993,0.4623,2.852765098,0.326732549,Notre Dame,5.5,Played Notre dame +4.5
Western Michigan,Massachusetts,-2.7138,0.4783,8.701541209,2.993870604,Western Michigan,2.5,
Toledo,Ohio,-9.9465,0.6884,-1.843161001,-5.894830501,Toledo,-2.5,Played toledo ml
Akron,Ball St.,-12.3841,0.7454,-37.40728962,-24.89569481,Akron,-20.5,
Belmont,Valparaiso,-8.6945,0.6458,-16.61695188,-12.65572594,Belmont,-10.5,
Seton Hall,Connecticut,-0.599,0.4116,7.337829468,3.369414734,Seton Hall,5.5,
Houston,West Virginia,-8.0798,0.636,-10.34353562,-9.211667811,Houston,-14.5,
Eastern Illinois,Western Illinois,-8.9601,0.667,-9.902999232,-9.431549616,Eastern Illinois,-7.5,
Kansas,Iowa St.,1.2678,0.3665,-0.967162829,0.150318586,Kansas,3.5,played kansas +3.5
Nebraska,Oregon,-9.9211,0.6798,-14.13517696,-12.02813848,Nebraska,-10.5,
Mississippi St.,Alabama,5.0263,0.2698,8.018420897,6.522360449,Mississippi St.,4.5,played alabama -4.5 and ml
Oklahoma,Florida,-9.61,0.6761,4.223929305,-2.693035347,Oklahoma,6.5,
Fresno St.,Colorado St.,2.8317,0.3163,5.522186627,4.176943314,Fresno St.,4.5,
Oklahoma St.,Baylor,-4.1208,0.5171,-1.170500258,-2.645650129,Oklahoma St.,1.5,played ok st -1.5
New Mexico,Grand Canyon,-9.2791,0.6594,-4.661201667,-6.970150833,New Mexico,-7.5,
Creighton,Georgetown,-6.9171,0.5999,-11.22575818,-9.071429092,Creighton,-8.5,
Syracuse,Florida St.,2.6804,0.3273,-15.8485494,-6.584074701,Syracuse,-8.5,
USC,Maryland,-4.4687,0.5311,-15.76190411,-10.11530206,USC,-8.5,
