home_team,away_team,mean_spread_away_minus_home,median_spread,std_spread,mean_total,home_win_prob,error
St. John's,Marquette,-4.2158,-4.0,13.637676868147302,163.4994,0.6107,
Eastern Michigan,Northern Illinois,1.1128,1.0,13.359231870133852,140.2382,0.4512,
Buffalo,Kent St.,-3.3065,-3.0,13.680853692295669,159.4703,0.5773,
Michigan St.,Indiana,4.5712,4.0,13.517045925793106,166.5916,0.3556,
Louisville,Virginia,-4.1911,-4.0,13.82508520009913,172.4277,0.606,
Clemson,Boston College,-8.2227,-8.0,13.123745833793034,153.9323,0.7211,
Tennessee,Texas A&M,7.549,7.0,13.673046441813911,166.024,0.2805,
Northern Iowa,UIC,,,,,,Team not found: UIC
Loyola Chicago,George Mason,2.5874,3.0,13.075150524563762,151.4674,0.4039,
Duquesne,Dayton,1.4819,1.0,13.527737149649235,158.3585,0.4404,
Minnesota,Wisconsin,3.8557,4.0,13.604700566715902,160.6501,0.3749,
Notre Dame,Miami FL,0.5675,1.0,13.336020536501884,158.9583,0.4696,
Western Michigan,Massachusetts,0.3613,0.0,13.62200287439406,153.1395,0.4802,
Toledo,Ohio,-6.9685,-7.0,13.19219874584976,150.3621,0.686,
Miami (OH),Central Michigan,,,,,,Team not found: Miami (OH)
Akron,Ball St.,-9.5722,-10.0,13.502317843985159,150.3478,0.7506,
Belmont,Valparaiso,-5.9631,-6.0,13.42597253050966,155.1511,0.6606,
Seton Hall,Connecticut,2.1742,2.0,12.888337920771631,155.5034,0.4197,
Evansville,Bradley,6.1486,6.0,13.416270645749512,150.4194,0.3095,
Houston,West Virginia,-5.2805,-5.0,12.993883936298646,151.5621,0.6456,
Eastern Illinois,Western Illinois,-5.8196,-6.0,12.810513488537453,130.2926,0.6663,
Kansas,Iowa St.,4.1662,4.0,13.330047920393985,168.805,0.3614,
Nebraska,Oregon,-6.9387,-7.0,13.668743260080642,164.0839,0.6806,
Mississippi St.,Alabama,7.725,8.0,13.717834194944915,177.4764,0.2729,
Oklahoma,Florida,-6.636,-7.0,13.486901200794792,165.3782,0.6755,
Fresno St.,Colorado St.,5.5479,5.0,13.437488812646507,151.2483,0.3325,
Oklahoma St.,Baylor,-0.9197,-1.0,13.575995429801823,170.9055,0.5135,
New Mexico,Grand Canyon,-6.2898,-6.0,13.434091556930822,157.134,0.659,
Creighton,Georgetown,-3.8951,-4.0,13.392367079422517,160.7851,0.5991,
Syracuse,Florida St.,6.0168,6.0,13.708038435895926,159.3884,0.3186,
San José St.,Air Force,,,,,,Team not found: San José St.
USC,Maryland,-1.4539,-2.0,13.23873388168219,157.1191,0.5314,
San Francisco,Saint Mary's,1.8265,2.0,13.43258715772952,158.6069,0.4286,
UNLV,Boise St.,1.7643,2.0,13.355708349241533,154.9941,0.4319,
