Game,Bookmaker,Market,Team,Odds,Point
Morgan St Bears vs North Carolina Central Eagles,betonlineag,spreads,Morgan St Bears,1.91,2.5
Morgan St Bears vs North Carolina Central Eagles,betonlineag,spreads,North Carolina Central Eagles,1.91,-2.5
Morgan St Bears vs North Carolina Central Eagles,lowvig,spreads,Morgan St Bears,1.94,2.5
Morgan St Bears vs North Carolina Central Eagles,lowvig,spreads,North Carolina Central Eagles,1.94,-2.5
Morgan St Bears vs North Carolina Central Eagles,draftkings,spreads,Morgan St Bears,1.89,2.5
Morgan St Bears vs North Carolina Central Eagles,draftkings,spreads,North Carolina Central Eagles,1.93,-2.5
Morgan St Bears vs North Carolina Central Eagles,fanduel,spreads,Morgan St Bears,1.91,2.5
Morgan St Bears vs North Carolina Central Eagles,fanduel,spreads,North Carolina Central Eagles,1.91,-2.5
Morgan St Bears vs North Carolina Central Eagles,betmgm,spreads,Morgan St Bears,1.91,2.5
Morgan St Bears vs North Carolina Central Eagles,betmgm,spreads,North Carolina Central Eagles,1.91,-2.5
Morgan St Bears vs North Carolina Central Eagles,betrivers,spreads,Morgan St Bears,1.85,2.5
Morgan St Bears vs North Carolina Central Eagles,betrivers,spreads,North Carolina Central Eagles,1.93,-2.5
Morgan St Bears vs North Carolina Central Eagles,bovada,spreads,Morgan St Bears,1.95,2.0
Morgan St Bears vs North Carolina Central Eagles,bovada,spreads,North Carolina Central Eagles,1.87,-2.0
Alabama St Hornets vs Alcorn St Braves,betonlineag,spreads,Alabama St Hornets,1.91,-8.5
Alabama St Hornets vs Alcorn St Braves,betonlineag,spreads,Alcorn St Braves,1.91,8.5
Alabama St Hornets vs Alcorn St Braves,lowvig,spreads,Alabama St Hornets,1.94,-8.5
Alabama St Hornets vs Alcorn St Braves,lowvig,spreads,Alcorn St Braves,1.94,8.5
Alabama St Hornets vs Alcorn St Braves,draftkings,spreads,Alabama St Hornets,1.93,-8.5
Alabama St Hornets vs Alcorn St Braves,draftkings,spreads,Alcorn St Braves,1.89,8.5
Alabama St Hornets vs Alcorn St Braves,fanduel,spreads,Alabama St Hornets,1.83,-7.5
Alabama St Hornets vs Alcorn St Braves,fanduel,spreads,Alcorn St Braves,1.98,7.5
Alabama St Hornets vs Alcorn St Braves,betmgm,spreads,Alabama St Hornets,1.91,-8.5
Alabama St Hornets vs Alcorn St Braves,betmgm,spreads,Alcorn St Braves,1.91,8.5
Alabama St Hornets vs Alcorn St Braves,betrivers,spreads,Alabama St Hornets,1.83,-8.5
Alabama St Hornets vs Alcorn St Braves,betrivers,spreads,Alcorn St Braves,1.94,8.5
Alabama St Hornets vs Alcorn St Braves,bovada,spreads,Alabama St Hornets,1.95,-8.5
Alabama St Hornets vs Alcorn St Braves,bovada,spreads,Alcorn St Braves,1.87,8.5
American Eagles vs Navy Midshipmen,betonlineag,spreads,American Eagles,1.91,3.0
American Eagles vs Navy Midshipmen,betonlineag,spreads,Navy Midshipmen,1.91,-3.0
American Eagles vs Navy Midshipmen,lowvig,spreads,American Eagles,1.94,3.0
American Eagles vs Navy Midshipmen,lowvig,spreads,Navy Midshipmen,1.94,-3.0
American Eagles vs Navy Midshipmen,draftkings,spreads,American Eagles,1.93,2.5
American Eagles vs Navy Midshipmen,draftkings,spreads,Navy Midshipmen,1.89,-2.5
American Eagles vs Navy Midshipmen,fanduel,spreads,American Eagles,1.95,2.5
American Eagles vs Navy Midshipmen,fanduel,spreads,Navy Midshipmen,1.87,-2.5
American Eagles vs Navy Midshipmen,betmgm,spreads,American Eagles,1.95,2.5
American Eagles vs Navy Midshipmen,betmgm,spreads,Navy Midshipmen,1.87,-2.5
American Eagles vs Navy Midshipmen,betrivers,spreads,American Eagles,1.92,2.5
American Eagles vs Navy Midshipmen,betrivers,spreads,Navy Midshipmen,1.88,-2.5
American Eagles vs Navy Midshipmen,bovada,spreads,American Eagles,1.91,3.0
American Eagles vs Navy Midshipmen,bovada,spreads,Navy Midshipmen,1.91,-3.0
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,betonlineag,spreads,Arkansas-Pine Bluff Golden Lions,1.91,2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,betonlineag,spreads,Prairie View Panthers,1.91,-2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,lowvig,spreads,Arkansas-Pine Bluff Golden Lions,1.94,2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,lowvig,spreads,Prairie View Panthers,1.94,-2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,draftkings,spreads,Arkansas-Pine Bluff Golden Lions,1.87,3.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,draftkings,spreads,Prairie View Panthers,1.95,-3.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,fanduel,spreads,Arkansas-Pine Bluff Golden Lions,1.95,2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,fanduel,spreads,Prairie View Panthers,1.87,-2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,betrivers,spreads,Arkansas-Pine Bluff Golden Lions,1.91,2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,betrivers,spreads,Prairie View Panthers,1.87,-2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,bovada,spreads,Arkansas-Pine Bluff Golden Lions,1.91,3.0
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,bovada,spreads,Prairie View Panthers,1.91,-3.0
Bethune-Cookman Wildcats vs Southern Jaguars,betonlineag,spreads,Bethune-Cookman Wildcats,1.95,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,betonlineag,spreads,Southern Jaguars,1.87,2.5
Bethune-Cookman Wildcats vs Southern Jaguars,lowvig,spreads,Bethune-Cookman Wildcats,1.99,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,lowvig,spreads,Southern Jaguars,1.9,2.5
Bethune-Cookman Wildcats vs Southern Jaguars,draftkings,spreads,Bethune-Cookman Wildcats,1.89,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,draftkings,spreads,Southern Jaguars,1.93,2.5
Bethune-Cookman Wildcats vs Southern Jaguars,fanduel,spreads,Bethune-Cookman Wildcats,1.91,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,fanduel,spreads,Southern Jaguars,1.91,2.5
Bethune-Cookman Wildcats vs Southern Jaguars,betmgm,spreads,Bethune-Cookman Wildcats,1.91,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,betmgm,spreads,Southern Jaguars,1.91,2.5
Bethune-Cookman Wildcats vs Southern Jaguars,betrivers,spreads,Bethune-Cookman Wildcats,1.91,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,betrivers,spreads,Southern Jaguars,1.89,2.5
Bethune-Cookman Wildcats vs Southern Jaguars,bovada,spreads,Bethune-Cookman Wildcats,1.91,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,bovada,spreads,Southern Jaguars,1.91,2.5
Coppin St Eagles vs South Carolina St Bulldogs,betonlineag,spreads,Coppin St Eagles,1.91,0.0
Coppin St Eagles vs South Carolina St Bulldogs,betonlineag,spreads,South Carolina St Bulldogs,1.91,0.0
Coppin St Eagles vs South Carolina St Bulldogs,lowvig,spreads,Coppin St Eagles,1.94,0.0
Coppin St Eagles vs South Carolina St Bulldogs,lowvig,spreads,South Carolina St Bulldogs,1.94,0.0
Coppin St Eagles vs South Carolina St Bulldogs,draftkings,spreads,Coppin St Eagles,1.89,1.5
Coppin St Eagles vs South Carolina St Bulldogs,draftkings,spreads,South Carolina St Bulldogs,1.93,-1.5
Coppin St Eagles vs South Carolina St Bulldogs,fanduel,spreads,Coppin St Eagles,1.82,1.5
